iter	Passed	Remaining
481	724	779
482	725	776
483	726	774
484	727	772
485	728	770
486	730	769
487	731	767
488	732	765
489	733	763
490	734	761
491	735	759
492	736	757
493	736	754
494	737	752
495	738	750
496	739	748
497	740	746
498	741	744
499	741	741
500	742	739
501	743	737
502	743	734
503	745	733
504	747	732
505	748	730
506	749	728
507	750	726
508	751	724
509	751	722
510	752	720
511	753	718
512	754	716
513	755	714
514	755	711
515	756	709
516	757	707
517	758	705
518	760	704
519	761	702
520	762	701
521	763	699
522	764	697
523	765	695
524	766	693
525	767	691
526	768	689
527	768	687
528	769	685
529	770	683
530	771	681
531	771	678
532	772	677
533	774	675
534	776	674
535	777	673
536	778	671
537	779	669
538	780	667
539	781	665
540	781	663
541	782	661
542	784	660
543	785	658
544	786	656
545	787	654
546	788	652
547	789	651
548	790	649
549	792	648
550	793	646
551	794	644
552	795	643
553	796	641
554	797	639
555	798	637
556	799	636
557	800	634
558	801	632
559	802	630
560	806	630
561	807	629
562	808	627
563	809	625
564	810	623
565	811	622
566	812	620
567	812	618
568	813	616
569	814	614
570	814	612
571	815	610
572	816	608
573	817	606
574	818	605
575	820	603
576	821	602
577	822	600
578	822	598
579	823	596
580	824	594
581	825	592
582	826	590
583	827	589
584	828	587
585	829	585
586	830	584
587	831	582
588	831	580
589	832	578
590	834	577
591	835	575
592	836	574
593	837	572
594	838	570
595	839	568
596	840	567
597	841	565
598	842	563
599	842	561
600	843	559
601	844	558
602	844	556
603	845	554
604	846	552
605	847	551
606	849	550
607	850	548
608	851	546
609	852	545
610	853	543
611	854	541
612	855	540
613	856	538
614	857	536
615	857	534
616	858	532
617	859	531
618	860	529
619	861	527
620	862	526
621	863	525
622	865	523
623	866	522
624	867	520
625	868	518
626	869	517
627	870	515
628	871	513
629	871	512
630	872	510
631	873	508
632	874	506
633	874	505
634	877	504
635	878	502
636	881	502
637	882	500
638	883	498
639	884	497
640	884	495
641	885	493
642	886	492
643	887	490
644	888	488
645	889	487
646	889	485
647	892	484
648	894	483
649	895	482
650	896	480
651	897	478
652	898	477
653	899	475
654	899	473
655	900	472
656	901	470
657	902	468
658	902	467
659	903	465
660	904	463
661	905	462
662	906	460
663	907	459
664	908	457
665	909	456
666	910	454
667	910	452
668	911	451
669	912	449
670	913	447
671	913	446
672	914	444
673	915	442
674	916	441
675	917	439
676	917	437
677	918	436
678	919	434
679	921	433
680	922	431
681	923	430
682	924	428
683	925	427
684	925	425
685	926	424
686	927	422
687	928	421
688	929	419
689	929	417
690	930	416
691	931	414
692	932	413
693	933	411
694	934	410
695	935	408
696	937	407
697	938	406
698	939	404
699	940	403
700	941	401
701	941	399
702	942	398
703	943	396
704	944	395
705	945	393
706	945	392
707	946	390
708	947	388
709	948	387
710	950	386
711	951	384
712	952	383
713	953	381
714	953	380
715	954	378
716	955	377
717	956	375
718	957	374
719	958	372
720	959	371
721	960	369
722	961	368
723	963	367
724	965	366
725	966	364
726	967	363
727	968	361
728	969	360
729	969	358
730	970	357
731	971	355
732	973	354
733	975	353
734	976	352
735	977	350
736	978	349
737	980	347
738	980	346
739	981	344
740	982	343
741	983	341
742	984	340
743	985	339
744	986	337
745	987	336
746	988	334
747	989	333
748	990	331
749	991	330
750	991	328
751	992	327
752	994	326
753	995	324
754	997	323
755	998	322
756	999	320
757	1000	319
758	1000	317
759	1001	316
760	1002	314
761	1003	313
762	1003	311
763	1004	310
764	1005	308
765	1006	307
766	1006	305
767	1008	304
768	1009	303
769	1010	301
770	1011	300
771	1012	299
772	1013	297
773	1014	296
774	1015	294
775	1015	293
776	1016	291
777	1017	290
778	1018	288
779	1019	287
780	1020	286
781	1020	284
782	1021	283
783	1023	281
784	1024	280
785	1024	279
786	1025	277
787	1026	276
788	1027	274
789	1027	273
790	1028	271
791	1029	270
792	1030	268
793	1030	267
794	1031	266
795	1032	264
796	1033	263
797	1033	261
798	1034	260
799	1035	258
800	1036	257
801	1037	256
802	1038	254
803	1039	253
804	1040	251
805	1041	250
806	1042	249
807	1042	247
808	1043	246
809	1044	244
810	1044	243
811	1045	242
812	1046	240
813	1047	239
814	1047	237
815	1048	236
816	1049	235
817	1050	233
818	1052	232
819	1054	231
820	1055	230
821	1056	228
822	1057	227
823	1058	226
824	1059	224
825	1060	223
826	1060	221
827	1061	220
828	1062	219
829	1063	217
830	1064	216
831	1065	215
832	1065	213
833	1067	212
834	1068	211
835	1069	209
836	1070	208
837	1071	207
838	1072	205
839	1073	204
840	1074	203
841	1074	201
842	1075	200
843	1076	198
844	1077	197
845	1077	196
846	1078	194
847	1079	193
848	1080	192
849	1080	190
850	1082	189
851	1083	188
852	1084	186
853	1085	185
854	1086	184
855	1087	182
856	1087	181
857	1088	180
858	1089	178
859	1090	177
860	1090	176
861	1091	174
862	1092	173
863	1093	172
864	1094	170
865	1095	169
866	1096	168
867	1098	167
868	1100	165
869	1102	164
870	1102	163
871	1103	162
872	1104	160
873	1105	159
874	1106	158
875	1106	156
876	1107	155
877	1108	154
878	1109	152
879	1110	151
880	1111	150
881	1112	148
882	1114	147
883	1161	152
884	1162	151
885	1163	149
886	1164	148
887	1168	147
888	1169	146
889	1170	144
890	1171	143
891	1173	142
892	1174	140
893	1176	139
894	1180	138
895	1182	137
896	1183	135
897	1184	134
898	1185	133
899	1186	131
900	1187	130
901	1187	129
902	1188	127
